DateOfMatch,Try1,Try2,Try3,Try4,Try5,Try6,Try7,Try8,Try9,Try10,Try11,Try12,Try13,Try14,Try15,MatchID,TryID
06/12/2014,Magnus Lund,Andrei Ostrikov,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1150,2000
13/12/2009,Dwayne Peel,Nick Macleod,David Seymour,Ben Cohen,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,2001
20/12/2009,Sisa Koyamaibole,Eifion Lewis-Roberts,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1001,2002
27/12/2009,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1002,2003
01/01/2010,James Gaskell,Ben Cohen,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1003,2004
16/01/2010,Sisa Koyamaibole,Mathew Tait,Mathew Tait,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1004,2005
24/01/2010,Mathew Tait,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1005,2006
29/01/2010,Charlie Hodgson,Sisa Koyamaibole,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1006,2007
06/02/2010,Kristian Ormsby,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1007,2008
16/09/2007,Ben Foden,Lee Thomas,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2009
08/10/2010,Sisa Koyamaibole,Nick Macleod,Nick Macleod,Andy Tuilagi,Tom Brady,Tom Brady,Tom Brady,Tommy Bell,Fergus Mulchrone,Fergus Mulchrone,Chris Brightwell,Ben Cohen,Chris Jones,Rob Miller,Chris Leck,1008,2010
16/10/2010,Tom Brady,Tom Brady,Nick Macleod,Mark Cueto,Mark Cueto,Nick Macleod,Rob Miller,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1009,2011
31/10/2010,Andy Tuilagi,Ben Cohen,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1010,2012
05/11/2010,Tom Brady,Fergus Mulchrone,Fergus Mulchrone,Tom Brady,Tom Brady,Chris Leck,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1011,2013
14/11/2010,Sean Cox,Rhys Crane,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1012,2014
19/11/2010,Ben Cohen,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1013,2015
27/11/2010,Rhys Crane,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1014,2016
11/12/2010,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1015,2017
20/12/2010,Mathew Tait,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1016,2018
27/12/2010,Asaeli Boko,Dwayne Peel,Kristian Ormsby,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1017,2019
02/01/2011,Mark Cueto,James Gaskell,Tommy Bell,NULL,NULL,NULL,NULL,Tommy Bell,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1018,2020
07/01/2011,Sisa Koyamaibole,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1019,2021
14/01/2011,Nick Macleod,Mathew Tait,Mathew Tait,Rob Miller,Will Cliff,Henry Thomas,Neil McMillan,Chris Brightwell,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1020,2022
22/01/2011,Jonny Kennedy,Jonny Kennedy,Mathew Tait,Fergus Mulchrone,Rob Miller,Kyle Tonetti,Lee Imiolek,Chris Jones,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1021,2023
28/01/2011,Henry Thomas,Aston Croall,Aston Croall,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1022,2024
06/02/2011,Nick Macleod,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1023,2025
01/09/2018,AJ MacGinty,Marland Yarde,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1462,2026
09/09/2018,Josh Beaumont,Denny Solomona,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1463,2027
15/09/2018,Bryn Evans,Marland Yarde,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1024,2028
22/09/2018,Jono Ross,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1025,2029
30/09/2018,Curtis Langdon,Rob Webber,Marland Yarde,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1026,2030
06/10/2018,Bryn Evans,Rohan Janse Van Rensburg,James Phillips,NULL,Rohan Janse Van Rensburg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1027,2031
17/11/2018,Byron McGuigan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1028,2032
24/11/2018,Denny Solomona,Denny Solomona,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1029,2033
02/12/2018,Jean-Luc du Preez,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1030,2034
12/10/2018,Byron McGuigan,Byron McGuigan,Byron McGuigan,Rob Webber,Rohan Janse Van Rensburg,Luke James,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1464,2035
20/10/2018,Chris Ashton,Chris Ashton,Chris Ashton,Josh Beaumont,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1031,2036
08/12/2018,Paolo Odogwu,Paolo Odogwu,Chris Ashton,Chris Ashton,Ben Curry,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1032,2037
15/12/2018,Luke James,Rob Webber,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1033,2038
26/10/2018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1034,2039
02/11/2018,Paolo Odogwu,Will Cliff,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1035,2040
09/11/2018,Rob Webber,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1036,2041
02/09/2016,Johnny Leota,Byron McGuigan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1061,2042
09/09/2016,David Seymour,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1062,2043
16/09/2016,Sam James,Cameron Neild,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1063,2044
24/09/2016,Will Addison,Will Addison,Halani Aulika,Neil Briggs,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1064,2045
01/10/2016,Halani Aulika,Johnny Leota ,Paolo Odogwu,James Phillips,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1065,2046
07/10/2016,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1066,2047
30/10/2016,Tom Curry,Mike Haley,Eifion Lewis-Roberts,Byron McGuigan,Paolo Odogwu,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1067,2048
20/11/2016,Josh Beaumont,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1068,2049
27/11/2016,Bryn Evans,Bryn Evans,Mike Haley,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1069,2050
02/12/2016,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1070,2051
23/12/2016,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1071,2052
01/01/2017,Johnny Leota,Denny Solomona,Penalty try,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1072,2053
07/01/2017,Byron McGuigan,Denny Solomona,Denny Solomona,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1073,2054
10/02/2017,Bryn Evans,Byron McGuigan,Denny Solomona,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1074,2055
19/02/2017,Mark Jennings,Denny Solomona,Denny Solomona,Denny Solomona,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1075,2056
25/02/2017,Magnus Lund,Cameron Neild,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1076,2057
03/03/2017,Josh Charnley,Bryn Evans,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1077,2058
25/03/2017,Denny Solomona,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1078,2059
07/04/2017,Ben Curry,Mike Haley,Sam James,Sam James,Byron McGuigan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1079,2060
15/04/2017,Sam James,Kieran Longbottom ,Byron McGuigan,James Phillips,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1080,2061
29/04/2017,Bryn Evans,Rob Webber,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1081,2062
06/05/2017,Josh Charnley,Ben Curry,Denny Solomona,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1082,2063
15/10/2016,Neil Briggs,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1315,2064
21/10/2016,Paolo Odogwu,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1083,2065
10/12/2016,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1084,2066
18/12/2016,Bryn Evans,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1085,2067
15/01/2017,Sam James,Rob Webber,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1086,2068
21/01/2017,Paolo Odogwu,Will Addison,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1087,2069
04/11/2016,Mark Jennings,Sam Bedlow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1088,2070
11/11/2016,Halani Aulika,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1089,2071
27/01/2017,Denny Solomona,Jonathan Mills,Laurence Pearce,Laurence Pearce,Neil Briggs,James Flynn,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1090,2072
03/02/2017,Neil Briggs,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1091,2073
02/09/2017,Byron McGuigan,Ben Curry,Denny Solomona,Faf de Klerk,Josh Strauss,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1092,2074
08/09/2017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1093,2075
15/09/2017,Ross Harrison,Denny Solomona,Denny Solomona,Josh Charnley,Mark Jennings,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1094,2076
23/09/2017,Byron McGuigan,Byron McGuigan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1037,2077
29/09/2017,Denny Solomona,Denny Solomona,Byron McGuigan,Byron McGuigan,Byron McGuigan,Faf de Klerk,Sam James,James O'Connor,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1038,2078
06/10/2017,Halani Aulika,Mike Haley,Sam James,Rob Webber,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1039,2079
27/10/2017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1095,2080
19/11/2017,Ben Curry,Mark Jennings,Jono Ross,Marland Yarde,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1096,2081
25/11/2017,Ben Curry,Faf de Klerk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1097,2082
01/12/2017,Rohan Janse Van Rensburg,Mark Jennings,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1040,2083
23/12/2017,Will Cliff,Byron McGuigan,James O'Connor,Josh Strauss,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1041,2084
30/12/2017,AJ MacGinty,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1042,2085
06/01/2018,Rohan Janse Van Rensburg,Rohan Janse Van Rensburg,NULL,Byron McGuigan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1448,2086
10/02/2018,Josh Strauss,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1453,2087
16/02/2018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1454,2088
24/02/2018,Denny Solomona,Denny Solomona,Marland Yarde,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1455,2089
03/03/2018,Denny Solomona,Denny Solomona,Denny Solomona,Marland Yarde,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1456,2090
24/03/2018,Ben Curry,Faf de Klerk,Mike Haley,Byron McGuigan,James O'Connor,Denny Solomona,Josh Strauss,Marland Yarde,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1457,2091
06/04/2018,Bryn Evans,Byron McGuigan,Rob Webber,Marland Yarde,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1458,2092
13/04/2018,Ben Curry,Marland Yarde,Marland Yarde,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1459,2093
28/04/2018,AJ MacGinty,AJ MacGinty,Andrei Ostrikov,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1460,2094
05/05/2018,Marland Yarde,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1461,2095
13/10/2017,Denny Solomona,Bryn Evans,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1043,2096
20/10/2017,Denny Solomona,Sam James,Sam James,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1098,2097
03/11/2017,TJ Ioane,Ben Curry,Will Cliff,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1099,2098
10/11/2017,Ben Curry,Josh Strauss,Mike Haley,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1044,2099
09/12/2017,Will Cliff,Joe Jones,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1045,2100
17/12/2017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1100,2101
13/01/2018,Andrei Ostrikov,Josh Beaumont,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1449,2102
20/01/2018,Marland Yarde,Luke James,Josh Beaumont,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1450,2103
27/01/2018,Sam Moore,Luke James,Joe Jones,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1451,2104
02/02/2018,Josh Charnley,Rob Webber,Ben Curry,Will Cliff,Arron Reed,Josh Strauss,Curtis Langdon,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1452,2105
17/10/2015,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1104,2106
23/10/2015,Danny Cipriani,David Seymour,Josh Beaumont,Johnny Leota,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1105,2107
01/11/2015,Sam James,Will Addison,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1106,2108
06/11/2015,Dan Braid,Sam James,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1107,2109
22/12/2018,Denny Solomona,Will Cliff,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1046,2110
12/01/2019,Chris Ashton,Faf de Klerk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1051,2111
29/12/2018,Chris Ashton,Faf de Klerk,Rob Webber,Denny Solomona,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1047,2112
04/01/2019,Sam James,Denny Solomona,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1048,2113
19/01/2019,Chris Ashton,Arron Reed,Jono Ross,Kieran Wilkinson,Tom Bristow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1052,2114
03/02/2019,Rohan Janse van Rensburg,Josh Beaumont,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1050,2115
15/11/2015,James Mitchell,Jonathan Mills,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1108,2116
13/04/2019,Josh Beaumont,Matt Postlethwaite,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1060,2117
20/04/2019,Penalty Try,Chris Ashton,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1103,2118
26/04/2019,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1059,2119
03/05/2019,Denny Solomona,Faf de Klerk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1101,2120
18/05/2019,Tom Curry,Rob Webber,Sam James,Chris Ashton,Byron McGuigan,AJ MacGinty,Denny Solomona,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1102,2121
21/11/2015,Brian Mujati,Mark Jennings,Sam James,Viliami Fihaki,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1109,2122
28/11/2015,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1110,2123
04/12/2015,Nev Edwards,Nev Edwards,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1111,2124
12/12/2015,Nev Edwards,Penalty Try,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1112,2125
19/12/2015,Viliami Fihaki,Neil Briggs,Johnny Leota,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1113,2126
26/12/2015,Will Addison,Josh Beaumont,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1114,2127
02/01/2016,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1115,2128
15/01/2016,Andrei Ostrikov,Nev Edwards,Will Addison,Johnny Leota,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1116,2129
21/01/2016,Brian Mujati,Penalty Try,Josh Beaumont,Nev Edwards,Mike Haley,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1118,2130
30/01/2016,Brian Mujati,TJ Ioane,Sam James,Nev Edwards,Nev Edwards,Sam Tuitupou,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1117,2131
13/02/2016,Johnny Leota,Nev Edwards,Mike Haley,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1120,2132
20/02/2016,David Seymour,Tommy Taylor,Mike Haley,Mike Haley,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1121,2133
